a,verb
aberthet,verb
achose,verb
achosi,verb
achubwyd,verb
addasu,verb
addawsai,verb
addewais,verb
addewaist,verb
addewes,verb
addolai,verb
adeiladais,verb
adewch,verb
adewir,verb
adfywhau,verb
adnabuaswn,verb
adnabum,verb
adnabydda,verb
adnabyddai,verb
adroddais,verb
adroddant,verb
adroddodd,verb
adwaen,verb
adwaenai,verb
aeddfedodd,verb
aethpwyd,verb
âf,verb
agorai,verb
agores,verb
agorwn,verb
agorwyd,verb
aildyfu,verb
ailgychwyn,verb
allaswn,verb
allech,verb
allem,verb
allodd,verb
alwed,verb
alwodd,verb
amddiffynno,verb
amgylchu,verb
amgylchynnu,verb
amlygodd,verb
amlygu,verb
analluogodd,verb
anedli,verb
anelaf,verb
anfonwyd,verb
anghofiodd,verb
anturiaf,verb
anturiais,verb
anwylo,verb
apeliai,verb
archwiliai,verb
arddangos,verb
aredig,verb
arferais,verb
arferem,verb
argraffodd,verb
argyhoeddi,verb
arhosai,verb
arhosem,verb
arhoses,verb
arhosodd,verb
arllwys,verb
arllwysodd,verb
aroglai,verb
arosasant,verb
arweiniai,verb
arweiniais,verb
arweiniodd,verb
arwyddo,verb
astudiais,verb
atal,verb
ataliodd,verb
atebai,verb
atebes,verb
atebwyd,verb
atelir,verb
atgoffa,verb
awgrymed,verb
awgrymu,verb
awgrymwyd,verb
b'asai,verb
b'wyf,verb
baeddwyd,verb
baffio,verb
ballai,verb
baratoi,verb
bared,verb
begie,verb
beichiodd,verb
beio,verb
belydru,verb
benderfynodd,verb
bendympian,verb
beraroglant,verb
berarogli,verb
berffeithio,verb
bernid,verb
berswadiwyd,verb
betruso,verb
blagio,verb
blagurodd,verb
blediodd,verb
bleidiai,verb
bleidio,verb
bleth,verb
blethu,verb
bloeddiai,verb
bloeddiodd,verb
bluen,verb
bluo,verb
blygodd,verb
blygu,verb
blysio,verb
boch,verb
boddhaf,verb
boer,verb
boethed,verb
borent,verb
botied,verb
bowliodd,verb
bradychu,verb
brefodd,verb
bregethu,verb
breswylio,verb
breuddwydiant,verb
brifest,verb
brifodd,verb
brintio,verb
briodoli,verb
britho,verb
brodir,verb
brofant,verb
broffwydi,verb
bryderu,verb
brydferthu,verb
brygowtha,verb
brynu,verb
brysio,verb
brysurant,verb
brysurasai,verb
brysuro,verb
buasent,verb
buaswn,verb
buon,verb
bwriadu,verb
bwriedais,verb
bwrlymu,verb
bydda,verb
byddaf,verb
byddem,verb
byddoch,verb
byddwch,verb
bympio,verb
cadwai,verb
cadwem,verb
cadwes,verb
cadwynwyd,verb
caeais,verb
caet,verb
caffwyf,verb
caledu,verb
camgymerodd,verb
camgymeryd,verb
camsynied,verb
canai,verb
canant,verb
canasom,verb
caniatai,verb
caniataodd,verb
canlyn,verb
canmol,verb
canwn,verb
carasai,verb
carem,verb
cario,verb
cariwyd,verb
carlamu,verb
caru,verb
carwyd,verb
casglwyd,verb
castie,verb
cefnaist,verb
cefnu,verb
ceidw,verb
celcio,verb
cenid,verb
cerais,verb
cerddai,verb
cerfio,verb
cerir,verb
cest,verb
chablwyd,verb
chadwes,verb
chaem,verb
chaet,verb
chafnu,verb
chafodd,verb
chaledu,verb
cham,verb
chanaf,verb
chanwn,verb
chanwyd,verb
chara,verb
charaf,verb
charu,verb
chefais,verb
chefnais,verb
cheisiaf,verb
cheisiwn,verb
chewch,verb
chiliodd,verb
chloi,verb
chlowyd,verb
chlywech,verb
chlywem,verb
chlywodd,verb
chodwn,verb
chofiodd,verb
chofleidio,verb
cholli,verb
chondemniai,verb
chredai,verb
chredu,verb
chrïais,verb
chrio,verb
chrwydro,verb
chrychu,verb
chryfhau,verb
chrynodd,verb
chrynu,verb
chuddiaf,verb
chuddio,verb
churo,verb
churodd,verb
chusannodd,verb
chwalu,verb
chwaraeodd,verb
chwarddodd,verb
chwblhau,verb
chwcio,verb
chwerwais,verb
chwerwed,verb
chwerwo,verb
chwiliodd,verb
chwincied,verb
chwter,verb
chwyddai,verb
chwyddodd,verb
chwyfio,verb
chwymped,verb
chwythai,verb
chwythodd,verb
chychwyn,verb
chyfansoddi,verb
chyflawnu,verb
chyflwyno,verb
chyhoeddi,verb
chymerodd,verb
chymeryd,verb
chymhellais,verb
chynghori,verb
chynghorodd,verb
chynorthwyo,verb
chysegru,verb
chysges,verb
chysgu,verb
chysuro,verb
claddes,verb
claddodd,verb
claddu,verb
cledre,verb
clician,verb
clirian,verb
cloddio,verb
clowyd,verb
clwyfo,verb
clywai,verb
clywech,verb
clywes,verb
clywsom,verb
cnoi,verb
codaf,verb
codet,verb
coffeir,verb
cofiaf,verb
cofiais,verb
cofiasom,verb
cofied,verb
cofleidiaf,verb
cofleidio,verb
coginio,verb
collodd,verb
coronwyd,verb
cracio,verb
crafangu,verb
crafodd,verb
crafu,verb
credai,verb
credais,verb
croesawu,verb
crwydraf,verb
cuddied,verb
cuddiodd,verb
curwyd,verb
cusanai,verb
cusanu,verb
cwcio,verb
cwrdd,verb
cwymp,verb
cwympa,verb
cwympasant,verb
cwymped,verb
cychwynasant,verb
cychwynasom,verb
cychwynnodd,verb
cydatebant,verb
cydredeg,verb
cydweithio,verb
cyfaddef,verb
cyfannu,verb
cyfansoddwyd,verb
cyfeiriaf,verb
cyffiwyd,verb
cyffroi,verb
cyffyrddes,verb
cyflawnu,verb
cyflawnwyd,verb
cyflwynir,verb
cyflwyno,verb
cyflwynodd,verb
cyfodasid,verb
cyfodwyd,verb
cyfranogi,verb
cyfreithloni,verb
cyhoeddwyd,verb
cyhuddo,verb
cyhwfan,verb
cymeraist,verb
cymere,verb
cymhellai,verb
cymysgu,verb
cynhennid,verb
cynhyrfwyd,verb
cynorthwyai,verb
cynyddai,verb
cyrhaeddais,verb
cyrhaeddes,verb
cyrlio,verb
cysgodd,verb
d'eni,verb
d'wedais,verb
dadblygu,verb
daenellai,verb
daethent,verb
daflodd,verb
dalent,verb
dalies,verb
dalio,verb
dalith,verb
daliwn,verb
danfon,verb
danfonasid,verb
danfonodd,verb
dangosaist,verb
dangoses,verb
daniwyd,verb
dapo,verb
darddu,verb
darllenais,verb
darllennai,verb
darllennem,verb
daro,verb
darparasai,verb
darparu,verb
dasen,verb
datgan,verb
datguddiwyd,verb
dau,verb
dd'ont,verb
dd'wedyd,verb
